model,manufacturer
FAC122PIA,Frigidaire
Unknown,Electrolux/Sanitaire.Eureka
AZ32H09D2BM2,General Electric
PTH123A35,Amana
PTH093A25AA,Amana
PTC093D35ARDB,Amana
PDH09K3SCFA,Friedrich
PTH093E25AXXXAB,Amana
PTH123A25AA,Amana
PDH12K3SF-A,Friedrich
PDH09K3SFA,Friedrich
PDH12K3SE,Friedrich
PE12K3,Friedrich
PTC073E35AXXXAB,Amana
EZ12E2CMA7A14AA,Islandaire
EZ12E2CMA8A14AA,Islandaire
AZ61H15DABM2,General Electric
PTC073E25AXXXAB,Amana
PTH053E35XXXAB,Amana
PTC153G35AXXXAA,Amana
EZ15H3CSE1AXXDM,Islandaire
EZ12E2CMF4A14AA,Islandaire
AZ38H12DAB,General Electric
LP153CD3A,LG
THC12K34RTC,Friedrich
PTH123E25AXXXAC,Amana
LP120CED-Y8,LG
THC09K34RTC,Friedrich
Unknown,Fedders
Unknown,Maytag
52CEC309331RC,Carrier
52CEE307331RC,Carrier
AJES09DCAM1,General Electric
PDH12K3SD,Friedrich
EZ12H3RSE1AAY,Islandaire
52SHA009301AA,Carrier
52SEE309301RC,Carrier
AGW10AHG1,General Electric
PDH12K35D-A,Friedrich
PDH12K35B-D,Friedrich
PTC123B35AJ,Amana
PTC123A35AA,Amana
PTC123A35AB,Amana
PDE12K3SF-A,Friedrich
EZ12E2CSC1AXXDM,Islandaire
PTC093E25AXXX,Amana
AZ29E07DAB,General Electric
AZ29E09DAB,General Electric
PTC123D25AR,Amana
PTC123E50A,Amana
PTH123B35AJ,Amana
PTH123G50AXXXAA,Amana
AZ39H12DAB,General Electric
PDE12K3SE,Friedrich
PTH123E35AXXX,Amana
PTH153B50AJ,Amana
XQ05L10A,Friedrich
AH183E35AX,Amana
52CE-207---3,Carrier
PTC153D35ARDA,Amana
PTC123E35AXXXAC,Amana
AZ28E15DABM1,General Electric
PTH153E35A,Amana
AGQ12DB,General Electric
AJCS09DCB,General Electric
LWHD2500ER,LG
